id,name,type,nutrition,value,unit,url,value_level
91,Eggplant Agebitashi,appetizer,Calories,163,kcal,https://www.justonecookbook.com/wp-content/uploads/2019/09/Eggplant-Agebitashi-0263-I-500x500.jpg,-0.8977143463012197
92,Eggplant Agebitashi,appetizer,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2019/09/Eggplant-Agebitashi-0263-I-500x500.jpg,-2.3025850929940455
93,Eggplant Agebitashi,appetizer,Sodium,190,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Eggplant-Agebitashi-0263-I-500x500.jpg,-0.7444404749474959
94,Eggplant Agebitashi,appetizer,Potassium,264,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Eggplant-Agebitashi-0263-I-500x500.jpg,-0.9751312318970884
95,Eggplant Agebitashi,appetizer,Calcium,19,mg,https://www.justonecookbook.com/wp-content/uploads/2019/09/Eggplant-Agebitashi-0263-I-500x500.jpg,-2.353878387381596
96,Eggplant with Sesame Ponzu Sauce,appetizer,Calories,62,kcal,https://www.justonecookbook.com/wp-content/uploads/2011/09/Eggplant-with-Sesame-Ponzu-Sauce-e1315467755959-400x399.jpg,-1.8643301620628905
97,Eggplant with Sesame Ponzu Sauce,appetizer,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2011/09/Eggplant-with-Sesame-Ponzu-Sauce-e1315467755959-400x399.jpg,-2.3025850929940455
98,Eggplant with Sesame Ponzu Sauce,appetizer,Sodium,212,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Eggplant-with-Sesame-Ponzu-Sauce-e1315467755959-400x399.jpg,-0.6348782724359695
99,Eggplant with Sesame Ponzu Sauce,appetizer,Potassium,262,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Eggplant-with-Sesame-Ponzu-Sauce-e1315467755959-400x399.jpg,-0.9827358312823078
100,Eggplant with Sesame Ponzu Sauce,appetizer,Calcium,12,mg,https://www.justonecookbook.com/wp-content/uploads/2011/09/Eggplant-with-Sesame-Ponzu-Sauce-e1315467755959-400x399.jpg,-2.8134107167600364
101,Fresh Spring Rolls with Yakiniku,appetizer,Calories,171,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/06/Fresh-Spring-Rolls-with-Yakiniku-2-I-500x500.jpg,-0.8498009906053222
102,Fresh Spring Rolls with Yakiniku,appetizer,Protein,11,g,https://www.justonecookbook.com/wp-content/uploads/2020/06/Fresh-Spring-Rolls-with-Yakiniku-2-I-500x500.jpg,0.09531017980432493
103,Fresh Spring Rolls with Yakiniku,appetizer,Sodium,434,mg,https://www.justonecookbook.com/wp-content/uploads/2020/06/Fresh-Spring-Rolls-with-Yakiniku-2-I-500x500.jpg,0.08157998699242285
104,Fresh Spring Rolls with Yakiniku,appetizer,Potassium,261,mg,https://www.justonecookbook.com/wp-content/uploads/2020/06/Fresh-Spring-Rolls-with-Yakiniku-2-I-500x500.jpg,-0.9865599277207113
105,Fresh Spring Rolls with Yakiniku,appetizer,Calcium,28,mg,https://www.justonecookbook.com/wp-content/uploads/2020/06/Fresh-Spring-Rolls-with-Yakiniku-2-I-500x500.jpg,-1.9661128563728327
106,Fried Chicken Wings,appetizer,Calories,657,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/02/Fried-Chicken-Wings-6131-I-500x500.jpg,0.4962194713766286
107,Fried Chicken Wings,appetizer,Protein,31,g,https://www.justonecookbook.com/wp-content/uploads/2020/02/Fried-Chicken-Wings-6131-I-500x500.jpg,1.1314021114911006
108,Fried Chicken Wings,appetizer,Sodium,808,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Fried-Chicken-Wings-6131-I-500x500.jpg,0.7030975114131134
